accountsservice 0.6.55-3
acpi 1.7-3
acpid 2.0.32-2
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
alacritty 0.9.0-1
alsa-firmware 1.2.4-2
alsa-utils 1.2.5.1-1
amd-ucode 20210818.c46b8c3-1
apparmor 3.0.3-1
avahi 0.8+20+gd1e71b3-1
b43-fwcutter 019-3
bash-completion 2.11-2
brightnessctl 0.5.1-2
btrfs-progs 5.13.1-1
bzip2 1.0.8-4
cava 0.7.4-1
clang 12.0.1-1
cmatrix 2.0-2
conky 1.12.2-1
coreutils 8.32-1
cpupower 5.13-1
cpupower-gui 1.0.0-3.1
crda 4.14-4
cronie 1.5.7-2
cryptsetup 2.4.0-1
dbus-x11 1.12.20-1
device-mapper 2.03.13-1
dhclient 4.4.2.P1-1
dhcpcd 9.4.0-1
diffutils 3.8-1
discord 0.0.15-1
dkms 2.8.4-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.85-1
dosfstools 4.2-1
dunst 1.6.1-2
e2fsprogs 1.46.4-1
ecryptfs-utils 111-4
efibootmgr 17-2
engrampa 1.26.0-1
exfat-utils 1.3.0-2
f2fs-tools 1.14.0-2
fakeroot 1.25.3-2
fbset 2.1-7
feh 3.7.1-1
file 5.40-5
filesystem 2021.01.19-1
findutils 4.8.0-1
firefox 91.0.2-1
fish 3.3.1-1
font-manager 0.8.7-1
freetype2 2.10.4-1
galculator-gtk2 2.1.4-5
gawk 5.1.0-1
gcc-libs 11.1.0-1
gcolor2 0.4-9
gettext 0.21-1
glibc 2.33-5
gnome-icon-theme 3.12.0-6
gnome-keyring 1:40.0-1
gnome-themes-extra 3.28-2
gparted 1.3.1-1
grep 3.6-1
grub 2.06-1
grub-theme-manjaro 20.2-12
gst-plugins-base 1.18.4-1
gst-plugins-ugly 1.18.4-2
gvfs 1.48.1-1
gvfs-afc 1.48.1-1
gvfs-gphoto2 1.48.1-1
gvfs-mtp 1.48.1-1
gvfs-nfs 1.48.1-1
gvfs-smb 1.48.1-1
gzip 1.10-3
haveged 1.9.14-1
htop 3.0.5-1
iftop 1.0pre4-4
inetutils 2.1-1
inxi 3.3.06.1-1
iproute2 5.13.0-1
iptables 1:1.8.7-1
iputils 20210722-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
jfsutils 1.1.15-7
jq 1.6-4
kernel-alive 0.5-1
less 1:590-1
lib32-libva-intel-driver 2.4.1-1
lib32-libva-mesa-driver 21.2.1-1
lib32-libva-vdpau-driver 0.7.4-6
lib32-mesa-demos 8.4.0-2
lib32-mesa-vdpau 21.2.1-1
lib32-nvidia-utils 470.63.01-1
lib32-vulkan-intel 21.2.1-1
libdvdcss 1.4.3-1
libgsf 1.14.47-1
libopenraw 0.3.0-1
liburcu 0.13.0-1
libva-intel-driver 2.4.1-1
libva-mesa-driver 21.2.1-1
libva-vdpau-driver 0.7.4-5
libvirt 1:7.6.0-1
licenses 20200427-1
light-locker 1.9.0-4
lightdm-webkit2-greeter 2.2.5-4
lightdm-webkit2-theme-glorious 2.0.5-3
linux-firmware 20210818.c46b8c3-1
linux414-headers 4.14.244-1
linux510 5.10.60-1
linux510-nvidia 470.63.01-4
linux512-headers 5.12.19-1
logrotate 3.18.1-1
lsb-release 1.4-13
lua 5.4.3-1
lvm2 2.03.13-1
lxappearance 0.6.3-4
maim 5.7.4-1
make 4.3-3
man-db 2.9.4-2
man-pages 5.12-2
manjaro-alsa 20210109-1
manjaro-application-utility 1.3.3-5
manjaro-browser-settings 20201114-1
manjaro-documentation-en 20181009-1
manjaro-firmware 20160419-1
manjaro-hello 0.6.6-9
manjaro-hotfixes 2018.08-6
manjaro-release 21.1.1-1
manjaro-settings-manager 0.5.6-15
manjaro-settings-manager-notifier 0.5.6-15
manjaro-system 20210612-1
manjaro-wallpapers-18.0 1.4-3
manjaro-xfce-settings 20210124-1
matcha-gtk-theme 20210823-1
mdadm 4.1-2
memtest86+ 5.31b-1
menulibre 2.2.1-3
mesa-demos 8.4.0-4
mesa-vdpau 21.2.1-1
mhwd 0.6.5-2
mhwd-db 0.6.5-15
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20201225-1
modemmanager 1.16.10-1
mousepad 0.5.6-1
mtpfs 1.1-4
mugshot 0.4.3-1
neofetch 7.1.0-2
neovim 0.5.0-1
network-manager-applet 1.24.0-1
networkmanager 1.32.10-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-4
nfs-utils 2.5.4-1
nodejs 16.7.0-1
notification-daemon 3.20.0-4
noto-fonts 20201226-2
npm 7.21.0-1
nss-mdns 0.15.1-1
ntfs-3g 2017.3.23-5
ntp 4.2.8.p15-1
numlockx 1.2-5
nvidia-utils 470.63.01-1
ocl-icd 2.3.1-1
openresolv 3.12.0-1
openssh 8.7p1-1
os-prober 1.79-1
p7zip 1:17.04-1
pacman 6.0.0-2
pamac-gtk 10.1.3-3
pamixer 1.4-6
paprefs 1.1-2
pavucontrol 1:5.0-1
pciutils 3.7.0-1
perl 5.34.0-2
perl-file-mimeinfo 0.30-2
picom-jonaburg-git 0.1-4
playerctl 2.3.1-1
poppler-data 0.4.10-1
poppler-glib 21.08.0-1
powertop 2.14-1
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio-ctl 1.70-1
pulseaudio-equalizer 15.0-1
pulseaudio-equalizer-ladspa 3.0.2-4
pulseaudio-zeroconf 15.0-1
python-pip 20.3.4-1
python-wheel 0.37.0-1
ranger 1.9.3.143.g5047d9e5-1
redshift 1.12-4
reiserfsprogs 3.6.27-3
rivalcfg 4.3.0-1
rofi 1.6.1-1
rsync 3.2.3-4
s-nail 14.9.22-1
samba 4.14.7-1
screenfetch 3.9.1-1
sed 4.8-1
shadow 4.8.1-4
snapd-glib 1.54-1
spectre-meltdown-checker 0.44-1
stress 1.0.4-6
sudo 1.9.7.p2-1
sysfsutils 2.1.1-1
systemd-fsck-silent 239-1
systemd-sysvcompat 248.7-1
tar 1.34-1
terminus-font 4.49.1-2
texinfo 6.8-2
thunar 4.16.8-1
timeshift 20.11.1.r28.gefed117-2
tlp 1.3.1-2
trayer 1.1.8-2
tree 1.8.0-2
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-droid 20121017-10
ttf-inconsolata 1:3.000-3
ttf-indic-otf 0.2-11
ttf-liberation 2.1.4-1
ttf-opensans 1.101-2
udiskie 2.3.3-1
udisks2 2.9.3-1
unace 2.5-11
unrar 1:6.0.7-1
usb_modeswitch 2.6.1-1
usbutils 014-1
util-linux 2.37.2-1
vi 1:070224-5
viewnior 1.7-3
virtualbox 6.1.26-1
visual-studio-code-bin 1.59.1-1
wallpapers-2018 1.2-1
wallpapers-juhraya 1.1-2
wget 1.21.1-1
which 2.21-5
wpa_supplicant 2:2.9-8
xclip 0.13-3
xcursor-simpleandsoft 0.2-9
xcursor-vanilla-dmz-aa 0.4.5-2
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xdotool 3.20210804.2-1
xf86-input-elographics 1.4.2-2
xf86-input-evdev 2.10.6-2
xf86-input-libinput 1.1.0-1
xf86-input-void 1.4.1-5
xf86-video-ati 1:19.1.0-2
xf86-video-intel 1:2.99.917+916+g31486f40-1
xf86-video-nouveau 1.0.17-1
xfsprogs 5.13.0-1
xiccd 0.3.0-1
xmobar 0.38-8
xmonad 0.15-134
xmonad-contrib 0.16-114
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.13-3
xorg-server-xephyr 1.20.13-3
xorg-twm 1.0.11-1
xorg-xinit 1.4.1-3
xorg-xkill 1.0.5-2
xorg-xrandr 1.5.1-2
xorg-xsetroot 1.1.2-2
yelp 40.3-1
zenity 3.32.0+55+gd7bedff-1
zensu 0.3-1
zsh 5.8-1
